x,y,label
11,29,11
8,29,11
11,27,11
11,26,11
9,36,11
9,30,11
14,28,11
9,37,11
13,27,11
9,27,11
9,28,11
8,40,11
7,39,11
8,27,11
10,27,11
10,53,12
11,50,12
11,46,12
9,50,12
21,53,12
9,51,12
13,50,12
12,48,12
22,46,12
17,50,12
12,50,12
15,49,12
11,51,12
22,47,12
18,46,12
14,48,12
19,53,12
19,45,12
18,52,12
15,50,12
21,50,12
17,55,12
18,49,12
23,49,12
24,50,12
10,51,12
11,52,12
18,53,12
22,49,12
17,51,12
20,53,12
23,45,12
21,52,12
19,51,12
18,51,12
18,48,12
19,46,12
12,47,12
25,49,12
14,49,12
9,7,13
11,4,13
8,5,13
6,11,13
10,5,13
11,1,13
10,7,13
8,9,13
8,12,13
11,6,13
13,5,13
8,7,13
8,10,13
9,3,13
8,6,13
7,9,13
8,4,13
8,11,13
11,2,13
9,9,13
9,4,13
9,10,13
7,10,13
9,2,13
10,2,13
7,12,13
9,11,13
10,8,13
10,3,13
11,5,13
8,8,13
10,1,13
9,8,13
12,5,13
7,5,13
11,7,13
12,6,13
11,3,13
10,6,13
8,2,13
6,19,14
7,52,14
3,6,14
4,27,14
5,27,14
4,7,14
3,6,14
6,56,14
7,24,14
9,48,14
6,8,14
7,51,14
5,8,14
7,21,14
7,56,14
5,26,14
6,7,14
8,53,14
7,49,14
4,23,14
5,9,14
5,19,14
8,24,14
4,8,14
7,23,14
5,28,14
6,23,14
5,23,14
5,7,14
6,21,14
5,25,14
8,48,14
6,24,14
10,48,14
8,23,14
6,25,14
4,19,14
6,26,14
7,17,14
7,55,14
